Title,Conference
Band moirÃƒÂ© images,SIGGRAPH
Instant Radiosity,SIGGRAPH
The integrative use of computers in a medical university,SIGGRAPH
Transfer learning for behavioral targeting,WWW
Queueing Analysis of Explicit Policy Assignmant Push-Out Buffer Sharing Schemes for ATM Networks,INFOCOM
N for the price of 1: bundling web objects for more efficient content delivery,WWW
Finding group shilling in recommendation system,WWW
Error robust video transmission over wireless IP networks with multiuser detection,ISCAS
Network bucket testing,WWW
Asymptotic Sampling Properties of Effective Bandwidth Estimation for Admission Control,INFOCOM
A globally convergent algorithm for solving a broad class of nonlinear resistive circuits,ISCAS
Analysis of Flow Enforcement Algorithm for Bursty Traffic in ATM Networks,INFOCOM
Efficient interactive fuzzy keyword search,WWW
Area-time-power tradeoffs in parallel adders,ISCAS
"Federated Database Systems for Managing Distributed, Heterogeneous, and Autonomous Databases",VLDB
A zero-time-overhead asynchronous four-phase controller,ISCAS
DB2 Spatial Extender - Spatial data within the RDBMS,VLDB
Accessible animation and customizable graphics via simplicial configuration modeling,SIGGRAPH
Forum: Wave-pipelining: Is it Practical?,ISCAS
Query topic detection for reformulation,WWW
Interactive video cutout,SIGGRAPH
Convergence of Adaptive Algorithms with Order Statistic Based Gradient Estimates,ISCAS
A Lightweight Approach to Semantic Tagging,WWW
SPIRIT: Sequential Pattern Mining with Regular Expression Constraints,VLDB
E cient embedding of planar graphs in linear time,ISCAS
Automatic web news extraction using tree edit distance,WWW
Data Base Machines: System Evaluation and Conversion Issues,VLDB
DiscoWeb: Applying Link Analysis to Web Search,WWW
A License Management Model to Support B2C and C2C Music Sharing,WWW
Lace curtain: modeling and rendering of woven structures using BRDF/BTDF: production of a catalog of curtain animations,SIGGRAPH
The oOce of the future: a unified approach to image-based,SIGGRAPH
Multi-level partition of unity implicits,SIGGRAPH
Ranking on large-scale graphs with rich metadata,WWW
"Facial animation: past, present and future (panel)",SIGGRAPH
Impacts of Peer Characteristics on P2PTV Networks Scalability,INFOCOM
Creating full view panoramic image mosaics and environment maps,SIGGRAPH
Analog VLSI implementations of continuous-time memory structures,ISCAS
Shilling recommender systems for fun and profit,WWW
PCCD: parallel continuous collision detection,SIGGRAPH
Webformulate: a web-based visual continual query system,WWW
General auction mechanism for search advertising,WWW
Automated Selection of Materialized Views and Indexes in SQL Databases,VLDB
Worldwide Buzz: Planetary-Scale Views on an Instant-Messaging Network,WWW
Modeling and Simulation of Hybrid Control Systems by Global Petri Nets,ISCAS
Video mosaicing for curved documents by structure from motion,SIGGRAPH
A Language for Manipulating Arrays,VLDB
Classification-enhanced ranking,WWW
Mining Web Services for Pathway Discovery,VLDB
Medical visualizationÃ¢â‚¬â€ùwhy we use CG and does it REALLY make a difference in creating meaningful images (panel),SIGGRAPH
Design and Performance Evaluation of a Packet Switch for Broadband Central Offices,INFOCOM
Providing multicast video on demand using native-mode asynchronous transfer mode,ISCAS
A Taxonomy and Performance Model of Data Skew Effects in Parallel Joins,VLDB
Peering through the iframe,INFOCOM
Database Design Tools: An Expert System Approach,VLDB
Generalised Processor Sharing Networks Fed by Heavy-tailed Traffic Flows,INFOCOM
Wide Range Gain Programmable Class AB Current Mirrors for Low Supply Operation,ISCAS
WysiWyg Web Wrapper Factory (W4F),WWW
WF2Q: Worst-Case Fair Weighted Fair Queueing,INFOCOM
Rendering interactive holographic images,SIGGRAPH
On the scalability of ad hoc routing protocols,INFOCOM
Containment of Nested XML Queries,VLDB
Limited Wavelength Translation in All-Optical WDM Mesh Networks,INFOCOM
The Semantic Web Paving the Way to the Knowledge Society,VLDB
\sc Theseus}}: categorization by context,WWW
A Dual Space Representation for Geometric Data,VLDB
Animating lip-sync speech faces by dominated animeme models,SIGGRAPH
Implicit Tagging using Donated Bookmarks,WWW
Translation Structures of Relational Views,VLDB
Efficient parallel FIR filter implementations using frequency spectrum characteristics,ISCAS
Recovering photometric properties of architectural scenes from photographs,SIGGRAPH
A Histogram-based Model for Video Traffic Behavior in an ATM Network Node with an Application to Congestion Control,INFOCOM
OSI Transport and Session Layers Services and Protocol,INFOCOM
Integrated Network Management: Technologies and Implementation Experience,INFOCOM
Asymptotic Performance Analysis of Hybrid ARQ Protocols in Slotted Direct-Sequence Code Division Multiple-Access Networks,INFOCOM
Virtual reality and computer graphics programming,SIGGRAPH
Stratified sampling of spherical triangles,SIGGRAPH
Fast and resolution independent line integral convolution,SIGGRAPH
Exact throughput capacity under power control in mobile ad hoc networks,INFOCOM
Mobile streaming media CDN enabled by dynamic SMIL,WWW
Configuration self-test in FPGA-based reconfigurable systems,ISCAS
Haptic enhancements for collaborative scenarios in virtual environment,SIGGRAPH
An AVPG for SOC design verification with port order fault model,ISCAS
Hierarchical cubes for range-sum queries,VLDB
Region Definition of Minimizing the Number of Switchboxes and Ordering Assignment,ISCAS
Querying for meta knowledge,WWW
